"arquivo_climatico","uf","municipio","populacao","zbb","tbsm","hdd18","cdd10","cdd24"
"BRA_CE_Crateus.818300_INMET","CE","Crateus",74271,7,27.09111872,0,6238.3,1129.4
"BRA_CE_Fortaleza-Pinto.Martins.Intl.AP.817580_INMET","CE","Fortaleza",2591188,8,26.6534589,0,6078.5,970.5
"BRA_CE_Guaramiranga.824870_INMET","CE","Guaramiranga",3720,5,20.68920091,0,3901.6,0
"BRA_CE_Iguatu.818730_INMET","CE","Iguatu",101386,7,27.01376712,0,6210,1101.9
"BRA_CE_Itapipoca.817560_INMET","CE","Itapipoca",124950,8,26.89288813,0,6165.9,1056.9
"BRA_CE_Jaguaribe.818330_INMET","CE","Jaguaribe",34561,7,27.7834589,0,6491,1382.3
"BRA_CE_Jaguaruana.824930_INMET","CE","Jaguaruana",33469,8,27.24494292,0,6294.4,1184.4
"BRA_CE_Morada.Nova.825940_INMET","CE","Morada Nova",61903,7,27.1401484,0,6256.2,1146.6
"BRA_CE_Quixeramobim.825860_INMET","CE","Quixeramobim",77174,7,26.43517123,0,5998.8,895.9
"BRA_CE_Taua.818720_INMET","CE","Taua",57701,7,26.19417808,0,5910.9,833.1
"BRA_DF_Brasilia.867150_INMET","DF","Brasilia",2914830,4,21.08148402,3.7,4044.7,9.3
"BRA_DF_Planaltina.867160_INMET","DF","Planaltina",164939,4,20.95384703,8.1,3998.2,2.9
"BRA_ES_Alegre.868280_INMET","ES","Alegre",32205,5,23.95135845,5.2,5092.2,417
"BRA_ES_Alfredo.Chaves.868290_INMET","ES","Alfredo Chaves",14973,8,23.58060502,1.1,4956.9,314.7
"BRA_ES_Linhares.868050_INMET","ES","Linhares",163662,8,24.27697489,0,5211.1,415.9
"BRA_ES_Nova.Venecia.867850_INMET","ES","Nova Venecia",50294,8,24.2559589,0,5203.4,395.8
"BRA_ES_Presidente.Kennedy.868530_INMET","ES","Presidente Kennedy",11309,8,23.96765982,0,5098.2,375.2
"BRA_ES_Santa.Teresa.868040_INMET","ES","Santa Teresa",23735,8,18.58151826,263.7,3132.3,0
"BRA_ES_Sao.Mateus.867860_INMET","ES","Sao Mateus",124575,8,23.864121,0,5060.4,349.5
"BRA_ES_Vitoria.868300_INMET","ES","Vitoria",355875,8,24.39726027,0,5255,462.4
"BRA_GO_Alto.Paraiso.de.Goias.866910_INMET","GO","Alto Paraiso de Goias",7391,6,20.5861758,15.9,3864,10.1
"BRA_GO_Aragarcas.833740_INMET","GO","Aragarcas",19583,6,25.79366438,0,5764.7,710.5
