agencia,municipio,uf,area,consumo
caixa,MARANGUAPE,CE,528.2,171256
caixa,PARACAMBI,RJ,529,128480
caixa,CAPINZAL,SC,529.1,75200
caixa,COROMANDEL,MG,529.9,93020
caixa,SOROCABA,SP,530,134288
caixa,MONTEIRO,PB,530,139778
caixa,SALINAS,MG,530.1,139440
caixa,TRES DE MAIO,RS,530.2,94372
caixa,CORDEIROPOLIS,SP,530.9,118120
caixa,JARDINOPOLIS,SP,531.3,110626
caixa,CAMPO FORMOSO,BA,532.4,127169
caixa,PORTO ALEGRE,RS,534.1,113975
caixa,PAICANDU,PR,534.3,118574
caixa,BARREIROS,PE,534.4,132709
caixa,IPORA,GO,535,132743
caixa,MARINGA,PR,535.1,50954
caixa,JUSSARA,GO,536.1,106190
caixa,ABREU E LIMA,PE,536.5,156197
caixa,OURO PRETO,MG,537.5,115600
caixa,CARUARU,PE,537.9,133253
caixa,PETROPOLIS,RJ,539.2,114860
caixa,ARAGUATINS,TO,539.5,136734
caixa,CUIABA,MT,539.8,219507
caixa,SANTOS DUMONT,MG,540,103553
caixa,MACAPA,AP,540,419932
caixa,MARINGA,PR,540,53727
caixa,RIO DE JANEIRO,RJ,540,155760
caixa,JOSE BONIFACIO,SP,541.3,159713
caixa,LOANDA,PR,541.4,100226
caixa,SERRA,ES,542.9,142766
caixa,CAMPINA GRANDE,PB,543.4,211455
caixa,CEARA-MIRIM,RN,543.4,211742
caixa,SAO CRISTOVAO,SE,543.8,116502
caixa,MANDAGUARI,PR,543.9,117784
caixa,IGREJINHA,RS,544.3,102087
caixa,PONTAL,SP,545.8,113779
caixa,SAO PAULO,SP,546,65338
caixa,PARNAMIRIM,RN,546,60635
caixa,PALMITAL,SP,546,102400
caixa,ABAETE,MG,546.5,87960
caixa,OTACILIO COSTA,SC,547.6,89390
caixa,ABAETETUBA,PA,548,184928
caixa,FLORES DA CUNHA,RS,548.9,80774
caixa,MARACAJU,MS,549,125480
caixa,PAU DOS FERROS,RN,549.1,174090
caixa,TEUTONIA,RS,549.7,92088
caixa,OURINHOS,SP,549.9,92280
caixa,QUARAI,RS,550,72528
caixa,BOM JESUS DA LAPA,BA,550,156961
caixa,IBIPORA,PR,550,168648
caixa,COSMOPOLIS,SP,550,131000
caixa,PENHA,SC,550,149281
caixa,FORQUILHINHA,SC,550,89667
caixa,MOGI DAS CRUZES,SP,550,250693
caixa,ACU,RN,551.2,242531
caixa,CAMPINAS,SP,552.4,129920
caixa,IPU,CE,552.7,135876
caixa,PACAJUS,CE,553,148190
caixa,SOROCABA,SP,553.1,186612
caixa,TABATINGA,AM,554,115497
caixa,AFOGADOS DA INGAZEIRA,PE,554,143684
caixa,RIO DAS OSTRAS,RJ,555.4,160600
caixa,TAQUARITUBA,SP,555.5,136482
caixa,JUATUBA,MG,555.9,130320
caixa,ITAPURANGA,GO,557.4,110009
caixa,VIAMAO,RS,558.3,68482
caixa,JAGUARIUNA,SP,559,114560
caixa,SAO PAULO,SP,559,105623.5
caixa,CAMPINAS,SP,559,109338
caixa,ITAMARAJU,BA,559.7,157710
caixa,IBAITI,PR,560.2,85059
caixa,FORTALEZA,CE,560.6,117080
caixa,LUCAS DO RIO VERDE,MT,561,173765
caixa,IVOTI,RS,561,75955
caixa,AGUAS FORMOSAS,MG,562,129200
caixa,SARANDI,RS,562.3,89656
caixa,JUIZ DE FORA,MG,562.6,35960
caixa,SAO PAULO,SP,563,133629
caixa,LIMOEIRO DO NORTE,CE,563,202163
caixa,SANTANA DO IPANEMA,AL,564,153538
caixa,SAO PAULO,SP,564.6,81394
caixa,NOVA LIMA,MG,565,133000
caixa,MARACANAU,CE,565,121547
caixa,SANTANA,AP,565.6,204955
caixa,GUARANTA DO NORTE,MT,565.7,134388
caixa,ANAPOLIS,GO,565.7,95032
caixa,CACADOR,SC,565.7,92877.5
caixa,NOVA LONDRINA,PR,566,106209
caixa,MONTE APRAZIVEL,SP,566.8,136411
caixa,IBITINGA,SP,567,133000
caixa,PITANGA,PR,567.2,83628
caixa,ARACUAI,MG,567.7,126960
caixa,CACOAL,RO,568.4,214821
caixa,RIO DE JANEIRO,RJ,570,195600
caixa,VASSOURAS,RJ,570,111600
caixa,PIRIPIRI,PI,570.2,209874
caixa,SANTA ISABEL,SP,571.4,98160
caixa,PORTO ALEGRE,RS,571.4,70918
caixa,PROMISSAO,SP,572.6,172302
caixa,BUTIA,RS,575,74540
caixa,URUACU,GO,575.5,146717
caixa,BELO HORIZONTE,MG,575.6,162400
caixa,CAMPINA GRANDE,PB,575.8,133283
caixa,LIVRAMENTO DE NOSSA SENHORA,BA,576,137988
caixa,SAO JOSE,SC,576.4,83354
caixa,BERTIOGA,SP,577,169920
caixa,MAIRIPORA,SP,577.3,110400
caixa,ESTANCIA VELHA,RS,577.3,122550
caixa,BARRAS,PI,578.4,204174
caixa,TAPES,RS,578.6,79323
caixa,ARACAJU,SE,579.3,388844
caixa,IBOTIRAMA,BA,579.4,177977
caixa,SABARA,MG,580,113160
caixa,NATAL,RN,580,124435
caixa,SERTAOZINHO,SP,580,145821
caixa,PIUMHI,MG,581.4,120520
caixa,PRESIDENTE PRUDENTE,SP,581.6,65341
caixa,PORTAO,RS,581.6,85650
caixa,JACAREI,SP,581.6,94480
caixa,SAO PAULO,SP,583.4,99194
caixa,IGARASSU,PE,583.6,245821
caixa,BOCAIUVA,MG,584,143600
caixa,ALTA FLORESTA,MT,585.1,172898
caixa,REMANSO,BA,585.5,133935
caixa,CAJAZEIRAS,PB,586,187461
caixa,SANTOS,SP,587,127274
caixa,TIETE,SP,587.5,119800
caixa,GOIANINHA,RN,588,90616
caixa,SERRA,ES,588.6,156780
caixa,VILA VELHA,ES,589,200697.5
caixa,CAMPINAS,SP,589.4,122567
caixa,PIRES DO RIO,GO,590,131284
caixa,SAO CAETANO DO SUL,SP,590.3,129686.5
caixa,RIO NEGRINHO,SC,590.3,98640
caixa,CONCEICAO DO RIO VERDE,MG,591,61440
caixa,SANTA CRUZ DO RIO PARDO,SP,591,131618
caixa,PIRAPORA,MG,591,181480
caixa,JUINA,MT,591.1,133233
caixa,PORANGATU,GO,593.4,202084
caixa,SIMAO DIAS,SE,594.5,165991
caixa,XAXIM,SC,594.6,76917
caixa,SAO SEBASTIAO,SP,595,113520
caixa,VILA VELHA,ES,596.9,124212
caixa,BANDEIRANTES,PR,596.9,128365
caixa,RECIFE,PE,598,171706
caixa,VITORIA,ES,598.2,203561
caixa,TORRES,RS,598.9,136599
caixa,SAO PAULO,SP,598.9,81313
caixa,EMBU-GUACU,SP,599.3,76700
caixa,GOIOERE,PR,599.4,123413
caixa,ARCOS,MG,600,140000
caixa,GOIATUBA,GO,600,150361
caixa,TERESINA,PI,600,209573
caixa,JAGUARIAIVA,PR,600,97766
caixa,PIRACANJUBA,GO,600,108794
caixa,FAZENDA RIO GRANDE,PR,600,98923
caixa,ALMIRANTE TAMANDARE,PR,600,87251
caixa,IPAMERI,GO,600,107518.5
caixa,CORBELIA,PR,600,105121
caixa,BARCARENA,PA,600,179014
caixa,JOINVILLE,SC,600,109969
caixa,SEABRA,BA,600,98648
caixa,FEIRA DE SANTANA,BA,600,121529
caixa,TARAUACA,AC,600,161458
caixa,PONTES E LACERDA,MT,600,158443
caixa,JI-PARANA,RO,600,186002
caixa,CAMPINAS,SP,600,47778
caixa,JUIZ DE FORA,MG,600,132920
caixa,MAIRINQUE,SP,600.7,87287
caixa,FORTALEZA,CE,600.8,243289
caixa,SENA MADUREIRA,AC,601,197743
caixa,CRUZ DAS ALMAS,BA,601.4,157320
caixa,BOTUCATU,SP,601.5,115880
