ghr,hvac,lights,boundaries,envelope,shgc,building,afn,total_hvac_light_cons
3495,vrf,9.9,adiabatic,2.5,0.7,0,sem,31161.94
3495,split,9.9,adiabatic,2.5,0.3,0,com,46086.59
3495,split,23.6,outdoors,2.5,0.3,180,com,67713.36
3495,split,23.6,outdoors,2.5,0.3,180,sem,70313.32
3495,split,23.6,outdoors,2.5,0.3,270,com,67734.54
3495,split,23.6,outdoors,2.5,0.3,270,sem,70036.07
3495,split,23.6,outdoors,2.5,0.7,0,com,67798.66
3495,split,23.6,outdoors,2.5,0.7,0,sem,70217.08
3495,split,23.6,outdoors,2.5,0.7,90,com,68157.39
3495,split,23.6,outdoors,2.5,0.7,90,sem,70386.41
3495,split,23.6,outdoors,2.5,0.7,180,com,69138.38
3495,split,23.6,outdoors,2.5,0.7,180,sem,72029.34
3495,split,9.9,adiabatic,2.5,0.7,90,com,44179.88
3495,split,23.6,outdoors,2.5,0.7,270,com,69061.67
3495,split,23.6,outdoors,2.5,0.7,270,sem,71475.66
3495,split,23.6,outdoors,3.7,0.3,0,com,67263.82
3495,split,23.6,outdoors,3.7,0.3,0,sem,69622.74
3495,split,23.6,outdoors,3.7,0.3,90,com,67376.89
3495,split,23.6,outdoors,3.7,0.3,90,sem,69564.01
3495,split,23.6,outdoors,3.7,0.3,180,com,67895.12
3495,split,23.6,outdoors,3.7,0.3,180,sem,70566.49
3495,split,23.6,outdoors,3.7,0.3,270,com,67892.61
3495,split,23.6,outdoors,3.7,0.3,270,sem,70265.56
3495,split,9.9,adiabatic,2.5,0.7,90,sem,42198.69
3495,split,23.6,outdoors,3.7,0.7,0,com,68129.15
3495,split,23.6,outdoors,3.7,0.7,0,sem,70702.48
3495,split,23.6,outdoors,3.7,0.7,90,com,68417.63
3495,split,23.6,outdoors,3.7,0.7,90,sem,70749.18
3495,split,23.6,outdoors,3.7,0.7,180,com,69413.65
3495,split,23.6,outdoors,3.7,0.7,180,sem,72346.07
3495,split,23.6,outdoors,3.7,0.7,270,com,69237.8
3495,split,23.6,outdoors,3.7,0.7,270,sem,71728.27
3495,split,9.9,adiabatic,2.5,0.7,180,com,44716.86
3495,split,9.9,adiabatic,2.5,0.7,180,sem,43212.24
3495,split,9.9,adiabatic,2.5,0.7,270,com,44375.67
3495,split,9.9,adiabatic,2.5,0.7,270,sem,42528
3495,split,9.9,adiabatic,3.7,0.3,0,com,42424.12
3495,split,9.9,adiabatic,3.7,0.3,0,sem,39872.71
