"hvac","afn","area","atm","azimuth","boundaries","cop","envelope","lights","shgc","dbt","targ"
2,2,979.296875,19.157421875,191.334375,1,3.863203125,1,13.37421875,0.63284375,25.59972603,144.7
2,2,319.140625,19.157421875,191.334375,1,3.863203125,1,13.37421875,0.63284375,25.59972603,156.8
2,2,979.296875,18.639453125,191.334375,1,3.863203125,1,13.37421875,0.63284375,25.59972603,145
2,2,979.296875,19.157421875,37.771875,1,3.863203125,1,13.37421875,0.63284375,25.59972603,145.8
2,2,979.296875,19.157421875,191.334375,1,3.863203125,1,13.37421875,0.63284375,25.59972603,144.7
2,2,979.296875,19.157421875,191.334375,1,3.235546875,1,13.37421875,0.63284375,25.59972603,151.4
2,2,979.296875,19.157421875,191.334375,1,3.863203125,1,13.37421875,0.63284375,25.59972603,144.7
2,2,979.296875,19.157421875,191.334375,1,3.863203125,1,23.92453125,0.63284375,25.59972603,184.5
2,2,979.296875,19.157421875,191.334375,1,3.863203125,1,13.37421875,0.61334375,25.59972603,144.7
2,2,979.296875,19.157421875,191.334375,1,3.863203125,1,13.37421875,0.63284375,15.84160959,124.3
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.61334375,15.84160959,176.2
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.61334375,15.84160959,176.2
2,2,979.296875,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.61334375,15.84160959,166.2
2,2,319.140625,19.157421875,37.771875,1,3.235546875,1,23.92453125,0.61334375,15.84160959,176
2,2,319.140625,18.639453125,191.334375,1,3.235546875,1,23.92453125,0.61334375,15.84160959,173.9
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.61334375,15.84160959,176.2
2,2,319.140625,18.639453125,37.771875,1,3.863203125,1,23.92453125,0.61334375,15.84160959,172.7
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.61334375,15.84160959,176.2
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,13.37421875,0.61334375,15.84160959,139.2
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.63284375,15.84160959,176.3
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.61334375,25.59972603,206.3
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.61334375,15.84160959,176.2
1,4,459.296875,11.357421875,4.134375,2,5.423203125,2,20.65421875,0.42484375,16.61941781,183.6
1,4,459.296875,11.357421875,4.134375,2,5.423203125,2,20.65421875,0.42484375,16.61941781,183.6
1,4,459.296875,11.357421875,4.134375,2,5.423203125,2,20.65421875,0.42484375,16.61941781,183.6
1,4,839.140625,11.357421875,4.134375,2,5.423203125,2,20.65421875,0.42484375,16.61941781,172.7
1,4,459.296875,10.839453125,4.134375,2,5.423203125,2,20.65421875,0.42484375,16.61941781,184
1,4,459.296875,11.357421875,224.971875,2,5.423203125,2,20.65421875,0.42484375,16.61941781,185.4
1,4,459.296875,11.357421875,4.134375,2,5.423203125,2,20.65421875,0.42484375,16.61941781,183.6
1,4,459.296875,11.357421875,4.134375,2,4.795546875,2,20.65421875,0.42484375,16.61941781,184.9
1,4,459.296875,11.357421875,4.134375,2,5.423203125,2,20.65421875,0.42484375,16.61941781,183.6
1,4,459.296875,11.357421875,4.134375,2,5.423203125,2,16.64453125,0.42484375,16.61941781,172.4
