"hvac","afn","area","atm","azimuth","boundaries","cop","envelope","lights","shgc","dbt","targ"
"vrf","min",319.140625,18.639453125,37.771875,"adiabatic",3.235546875,"heavy",23.92453125,0.63284375,15.84160959,176.275643298613
"vrf","min",319.140625,18.639453125,37.771875,"adiabatic",3.235546875,"heavy",23.92453125,0.61334375,25.59972603,206.264804573525
"split","max",459.296875,11.357421875,4.134375,"outdoors",5.423203125,"light",20.65421875,0.42484375,16.61941781,183.579691604598
"split","max",839.140625,11.357421875,4.134375,"outdoors",5.423203125,"light",20.65421875,0.42484375,16.61941781,172.703078815664
"split","max",459.296875,10.839453125,4.134375,"outdoors",5.423203125,"light",20.65421875,0.42484375,16.61941781,184.001648537507
"split","max",459.296875,11.357421875,224.971875,"outdoors",5.423203125,"light",20.65421875,0.42484375,16.61941781,185.386573827108
"split","max",459.296875,11.357421875,4.134375,"outdoors",4.795546875,"light",20.65421875,0.42484375,16.61941781,184.930023890733
"split","max",459.296875,11.357421875,4.134375,"outdoors",5.423203125,"light",16.64453125,0.42484375,16.61941781,172.391724026657
"split","max",459.296875,11.357421875,4.134375,"outdoors",5.423203125,"light",20.65421875,0.40534375,16.61941781,183.624881792677
"split","max",459.296875,11.357421875,4.134375,"outdoors",5.423203125,"light",20.65421875,0.42484375,24.96426941,200.277138014188
"split","max",839.140625,10.839453125,224.971875,"outdoors",4.795546875,"light",16.64453125,0.40534375,24.96426941,182.626958640908
"split","max",459.296875,10.839453125,224.971875,"outdoors",4.795546875,"light",16.64453125,0.40534375,24.96426941,191.181633231033
"split","max",839.140625,11.357421875,224.971875,"outdoors",4.795546875,"light",16.64453125,0.40534375,24.96426941,182.025528212811
"split","max",839.140625,10.839453125,4.134375,"outdoors",4.795546875,"light",16.64453125,0.40534375,24.96426941,182.409419640731
"split","max",839.140625,10.839453125,224.971875,"outdoors",5.423203125,"light",16.64453125,0.40534375,24.96426941,177.430089277812
"split","max",839.140625,10.839453125,224.971875,"outdoors",4.795546875,"light",20.65421875,0.40534375,24.96426941,198.110995917568
"split","max",839.140625,10.839453125,224.971875,"outdoors",4.795546875,"light",16.64453125,0.42484375,24.96426941,182.731876692137
"split","max",839.140625,10.839453125,224.971875,"outdoors",4.795546875,"light",16.64453125,0.40534375,16.61941781,164.184861124745
"split","min",329.296875,9.407421875,50.934375,"outdoors",4.253203125,"heavy",15.19421875,0.58084375,27.90363014,235.157567889355
"split","min",969.140625,9.407421875,50.934375,"outdoors",4.253203125,"heavy",15.19421875,0.58084375,27.90363014,209.196210335538
"split","min",329.296875,8.889453125,50.934375,"outdoors",4.253203125,"heavy",15.19421875,0.58084375,27.90363014,236.054620916978
"split","min",329.296875,9.407421875,271.771875,"outdoors",4.253203125,"heavy",15.19421875,0.58084375,27.90363014,236.033455161497
"split","min",329.296875,9.407421875,50.934375,"outdoors",5.185546875,"heavy",15.19421875,0.58084375,27.90363014,220.204449832446
"split","min",329.296875,9.407421875,50.934375,"outdoors",4.253203125,"heavy",18.46453125,0.58084375,27.90363014,247.683154125262
"split","min",329.296875,9.407421875,50.934375,"outdoors",4.253203125,"heavy",15.19421875,0.56134375,27.90363014,234.982214166123
"split","min",329.296875,9.407421875,50.934375,"outdoors",4.253203125,"heavy",15.19421875,0.58084375,22.70187215,192.789009857856
"split","min",969.140625,8.889453125,271.771875,"outdoors",5.185546875,"heavy",18.46453125,0.56134375,22.70187215,180.679256961844
"split","min",329.296875,8.889453125,271.771875,"outdoors",5.185546875,"heavy",18.46453125,0.56134375,22.70187215,197.513442705219
"split","min",969.140625,9.407421875,271.771875,"outdoors",5.185546875,"heavy",18.46453125,0.56134375,22.70187215,179.804150346922
"split","min",969.140625,8.889453125,50.934375,"outdoors",5.185546875,"heavy",18.46453125,0.56134375,22.70187215,181.054194768052
"split","min",969.140625,8.889453125,271.771875,"outdoors",4.253203125,"heavy",18.46453125,0.56134375,22.70187215,187.785781600541
"split","min",969.140625,8.889453125,271.771875,"outdoors",5.185546875,"heavy",15.19421875,0.56134375,22.70187215,168.52075132869
"split","min",969.140625,8.889453125,271.771875,"outdoors",5.185546875,"heavy",18.46453125,0.58084375,22.70187215,180.741992868812
"split","min",969.140625,8.889453125,271.771875,"outdoors",5.185546875,"heavy",18.46453125,0.56134375,27.90363014,209.373074787581
