"hvac","afn","area","atm","azimuth","boundaries","cop","envelope","lights","shgc","cdh","targ"
2,4,849.296875,17.207421875,238.134375,1,5.813203125,2,22.47421875,0.37284375,15099,153.6
2,4,449.140625,16.689453125,84.571875,1,3.625546875,2,11.18453125,0.35334375,15099,129
2,4,449.140625,16.689453125,84.571875,1,3.625546875,2,11.18453125,0.35334375,15099,129
2,4,849.296875,16.689453125,84.571875,1,3.625546875,2,11.18453125,0.35334375,15099,123.2
2,4,449.140625,17.207421875,84.571875,1,3.625546875,2,11.18453125,0.35334375,15099,128.7
2,4,449.140625,16.689453125,238.134375,1,3.625546875,2,11.18453125,0.35334375,15099,128.6
2,4,449.140625,16.689453125,84.571875,1,3.625546875,2,11.18453125,0.35334375,15099,129
2,4,449.140625,16.689453125,84.571875,1,5.813203125,2,11.18453125,0.35334375,15099,122
2,4,449.140625,16.689453125,84.571875,1,3.625546875,2,11.18453125,0.35334375,15099,129
2,4,449.140625,16.689453125,84.571875,1,3.625546875,2,22.47421875,0.35334375,15099,166.9
2,4,449.140625,16.689453125,84.571875,1,3.625546875,2,11.18453125,0.37284375,15099,129
2,4,449.140625,16.689453125,84.571875,1,3.625546875,2,11.18453125,0.35334375,40016,135.2
2,4,449.140625,16.689453125,84.571875,1,3.625546875,2,11.18453125,0.35334375,15099,129
2,1,589.296875,5.507421875,331.734375,1,3.473203125,2,18.83421875,0.47684375,18441,174.4
2,1,589.296875,5.507421875,331.734375,1,3.473203125,2,18.83421875,0.47684375,18441,174.4
2,1,589.296875,5.507421875,331.734375,1,3.473203125,2,18.83421875,0.47684375,18441,174.4
2,1,709.140625,5.507421875,331.734375,1,3.473203125,2,18.83421875,0.47684375,18441,173.2
2,1,589.296875,12.789453125,331.734375,1,3.473203125,2,18.83421875,0.47684375,18441,159.1
2,1,589.296875,5.507421875,365.371875,1,3.473203125,2,18.83421875,0.47684375,18441,174.6
2,1,589.296875,5.507421875,331.734375,1,3.473203125,2,18.83421875,0.47684375,18441,174.4
2,1,589.296875,5.507421875,331.734375,1,5.965546875,2,18.83421875,0.47684375,18441,162.7
2,1,589.296875,5.507421875,331.734375,1,3.473203125,2,18.83421875,0.47684375,18441,174.4
2,1,589.296875,5.507421875,331.734375,1,3.473203125,2,22.10453125,0.47684375,18441,186.4
2,1,589.296875,5.507421875,331.734375,1,3.473203125,2,18.83421875,0.66534375,18441,175.2
2,1,589.296875,5.507421875,331.734375,1,3.473203125,2,18.83421875,0.47684375,36771,184.9
2,1,709.140625,12.789453125,365.371875,1,5.965546875,2,22.10453125,0.66534375,36771,165.3
2,1,709.140625,12.789453125,365.371875,1,5.965546875,2,22.10453125,0.66534375,36771,165.3
2,1,589.296875,12.789453125,365.371875,1,5.965546875,2,22.10453125,0.66534375,36771,166.7
2,1,709.140625,5.507421875,365.371875,1,5.965546875,2,22.10453125,0.66534375,36771,179.5
2,1,709.140625,12.789453125,331.734375,1,5.965546875,2,22.10453125,0.66534375,36771,165.3
2,1,709.140625,12.789453125,365.371875,1,5.965546875,2,22.10453125,0.66534375,36771,165.3
2,1,709.140625,12.789453125,365.371875,1,3.473203125,2,22.10453125,0.66534375,36771,181.1
2,1,709.140625,12.789453125,365.371875,1,5.965546875,2,22.10453125,0.66534375,36771,165.3
2,1,709.140625,12.789453125,365.371875,1,5.965546875,2,18.83421875,0.66534375,36771,153.7
2,1,709.140625,12.789453125,365.371875,1,5.965546875,2,22.10453125,0.47684375,36771,164.6
2,1,709.140625,12.789453125,365.371875,1,5.965546875,2,22.10453125,0.66534375,18441,159.5
2,1,709.140625,12.789453125,365.371875,1,5.965546875,2,22.10453125,0.66534375,36771,165.3
1,3,1109.296875,13.307421875,144.534375,2,5.033203125,1,11.55421875,0.68484375,61466,164.5
1,3,1109.296875,13.307421875,144.534375,2,5.033203125,1,11.55421875,0.68484375,61466,164.5
1,3,1109.296875,13.307421875,144.534375,2,5.033203125,1,11.55421875,0.68484375,61466,164.5
1,3,189.140625,13.307421875,144.534375,2,5.033203125,1,11.55421875,0.68484375,61466,200.8
1,3,1109.296875,4.989453125,144.534375,2,5.033203125,1,11.55421875,0.68484375,61466,182
1,3,1109.296875,13.307421875,178.171875,2,5.033203125,1,11.55421875,0.68484375,61466,164.2
1,3,1109.296875,13.307421875,144.534375,2,5.033203125,1,11.55421875,0.68484375,61466,164.5
1,3,1109.296875,13.307421875,144.534375,2,4.405546875,1,11.55421875,0.68484375,61466,170.9
1,3,1109.296875,13.307421875,144.534375,2,5.033203125,1,11.55421875,0.68484375,61466,164.5
1,3,1109.296875,13.307421875,144.534375,2,5.033203125,1,14.82453125,0.68484375,61466,176.8
1,3,1109.296875,13.307421875,144.534375,2,5.033203125,1,11.55421875,0.45734375,61466,163.9
1,3,1109.296875,13.307421875,144.534375,2,5.033203125,1,11.55421875,0.68484375,79792,177.7
1,3,189.140625,4.989453125,178.171875,2,4.405546875,1,14.82453125,0.45734375,79792,260.4
1,3,189.140625,4.989453125,178.171875,2,4.405546875,1,14.82453125,0.45734375,79792,260.4
1,3,1109.296875,4.989453125,178.171875,2,4.405546875,1,14.82453125,0.45734375,79792,216
1,3,189.140625,13.307421875,178.171875,2,4.405546875,1,14.82453125,0.45734375,79792,242.5
1,3,189.140625,4.989453125,144.534375,2,4.405546875,1,14.82453125,0.45734375,79792,258.6
1,3,189.140625,4.989453125,178.171875,2,4.405546875,1,14.82453125,0.45734375,79792,260.4
1,3,189.140625,4.989453125,178.171875,2,5.033203125,1,14.82453125,0.45734375,79792,249.7
1,3,189.140625,4.989453125,178.171875,2,4.405546875,1,14.82453125,0.45734375,79792,260.4
1,3,189.140625,4.989453125,178.171875,2,4.405546875,1,11.55421875,0.45734375,79792,248
