"case","seed","epw","afn","area","atm","azimuth","boundaries","cdh","envelope","hvac","lights","shgc"
"afn_max_area_402_atm_9_azi_47.43_bounds_outdoors_cdh_15_env_heavy_hvac_vrf_lights_13.12_shgc_0.74","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_CE_Jaguaribe.818330_INMET","max",1377,9,47.43,"outdoors",63710,"heavy","vrf",13.12,0.74
"afn_max_area_276_atm_9_azi_47.43_bounds_outdoors_cdh_15_env_heavy_hvac_vrf_lights_13.12_shgc_0.74","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_CE_Jaguaribe.818330_INMET","max",500,9,47.43,"outdoors",63710,"heavy","vrf",13.12,0.74
"afn_max_area_402_atm_13_azi_47.43_bounds_outdoors_cdh_15_env_heavy_hvac_vrf_lights_13.12_shgc_0.74","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_CE_Jaguaribe.818330_INMET","max",1377,13,47.43,"outdoors",63710,"heavy","vrf",13.12,0.74
"afn_max_area_402_atm_9_azi_334.49_bounds_outdoors_cdh_15_env_heavy_hvac_vrf_lights_13.12_shgc_0.74","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_CE_Jaguaribe.818330_INMET","max",1377,9,334.49,"outdoors",63710,"heavy","vrf",13.12,0.74
"afn_max_area_402_atm_9_azi_47.43_bounds_outdoors_cdh_19_env_heavy_hvac_vrf_lights_13.12_shgc_0.74","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_ES_Presidente.Kennedy.868530_INMET","max",1377,9,47.43,"outdoors",52283,"heavy","vrf",13.12,0.74
"afn_max_area_402_atm_9_azi_47.43_bounds_outdoors_cdh_15_env_heavy_hvac_vrf_lights_13.26_shgc_0.74","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_CE_Jaguaribe.818330_INMET","max",1377,9,47.43,"outdoors",63710,"heavy","vrf",13.26,0.74
"afn_max_area_402_atm_9_azi_47.43_bounds_outdoors_cdh_15_env_heavy_hvac_vrf_lights_13.12_shgc_0.66","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_CE_Jaguaribe.818330_INMET","max",1377,9,47.43,"outdoors",63710,"heavy","vrf",13.12,0.66
"afn_max_area_674_atm_7_azi_153.49_bounds_outdoors_cdh_79_env_heavy_hvac_vrf_lights_20.76_shgc_0.41","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_PR_Icaraima.868970_INMET","max",515,7,153.49,"outdoors",32289,"heavy","vrf",20.76,0.41
"afn_max_area_4_atm_7_azi_153.49_bounds_outdoors_cdh_79_env_heavy_hvac_vrf_lights_20.76_shgc_0.41","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_PR_Icaraima.868970_INMET","max",235,7,153.49,"outdoors",32289,"heavy","vrf",20.76,0.41
"afn_max_area_674_atm_15_azi_153.49_bounds_outdoors_cdh_79_env_heavy_hvac_vrf_lights_20.76_shgc_0.41","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_PR_Icaraima.868970_INMET","max",515,15,153.49,"outdoors",32289,"heavy","vrf",20.76,0.41
"afn_max_area_674_atm_7_azi_228.43_bounds_outdoors_cdh_79_env_heavy_hvac_vrf_lights_20.76_shgc_0.41","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_PR_Icaraima.868970_INMET","max",515,7,228.43,"outdoors",32289,"heavy","vrf",20.76,0.41
"afn_max_area_674_atm_7_azi_153.49_bounds_outdoors_cdh_75_env_heavy_hvac_vrf_lights_20.76_shgc_0.41","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_PR_Curitiba.838420_INMET","max",515,7,153.49,"outdoors",9397,"heavy","vrf",20.76,0.41
"afn_max_area_674_atm_7_azi_153.49_bounds_outdoors_cdh_79_env_heavy_hvac_vrf_lights_20.62_shgc_0.41","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_PR_Icaraima.868970_INMET","max",515,7,153.49,"outdoors",32289,"heavy","vrf",20.62,0.41
"afn_max_area_674_atm_7_azi_153.49_bounds_outdoors_cdh_79_env_heavy_hvac_vrf_lights_20.76_shgc_0.49","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_PR_Icaraima.868970_INMET","max",515,7,153.49,"outdoors",32289,"heavy","vrf",20.76,0.49
"afn_max_area_4_atm_15_azi_228.43_bounds_outdoors_cdh_75_env_heavy_hvac_vrf_lights_20.62_shgc_0.49","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_PR_Curitiba.838420_INMET","max",235,15,228.43,"outdoors",9397,"heavy","vrf",20.62,0.49
"afn_max_area_674_atm_15_azi_228.43_bounds_outdoors_cdh_75_env_heavy_hvac_vrf_lights_20.62_shgc_0.49","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_PR_Curitiba.838420_INMET","max",515,15,228.43,"outdoors",9397,"heavy","vrf",20.62,0.49
"afn_max_area_4_atm_7_azi_228.43_bounds_outdoors_cdh_75_env_heavy_hvac_vrf_lights_20.62_shgc_0.49","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_PR_Curitiba.838420_INMET","max",235,7,228.43,"outdoors",9397,"heavy","vrf",20.62,0.49
"afn_max_area_4_atm_15_azi_153.49_bounds_outdoors_cdh_75_env_heavy_hvac_vrf_lights_20.62_shgc_0.49","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_PR_Curitiba.838420_INMET","max",235,15,153.49,"outdoors",9397,"heavy","vrf",20.62,0.49
"afn_max_area_4_atm_15_azi_228.43_bounds_outdoors_cdh_79_env_heavy_hvac_vrf_lights_20.62_shgc_0.49","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_PR_Icaraima.868970_INMET","max",235,15,228.43,"outdoors",32289,"heavy","vrf",20.62,0.49
"afn_max_area_4_atm_15_azi_228.43_bounds_outdoors_cdh_75_env_heavy_hvac_vrf_lights_20.76_shgc_0.49","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_PR_Curitiba.838420_INMET","max",235,15,228.43,"outdoors",9397,"heavy","vrf",20.76,0.49
