hvac,envelope,lights,shgc,afn,azimuth,boundaries,ghr,tbs,tbu,targ
vrf,2.5,23.6,0.7,min,270,adiabatic,3495,15.31,11.66,103.83195
vrf,2.5,9.9,0.3,min,270,adiabatic,3495,15.31,11.66,56.1986166666667
vrf,3.7,23.6,0.3,max,0,adiabatic,3495,15.31,11.66,99.0459
vrf,3.7,23.6,0.3,min,0,adiabatic,3495,15.31,11.66,101.321233333333
vrf,3.7,23.6,0.3,max,90,adiabatic,3495,15.31,11.66,99.2103666666667
vrf,3.7,23.6,0.3,min,90,adiabatic,3495,15.31,11.66,101.519283333333
vrf,3.7,23.6,0.3,max,180,adiabatic,3495,15.31,11.66,99.2910333333333
vrf,3.7,23.6,0.3,min,180,adiabatic,3495,15.31,11.66,101.7774
vrf,3.7,23.6,0.3,max,270,adiabatic,3495,15.31,11.66,99.18695
vrf,3.7,23.6,0.3,min,270,adiabatic,3495,15.31,11.66,101.6032
vrf,3.7,23.6,0.7,max,0,adiabatic,3495,15.31,11.66,99.6325166666667
vrf,3.7,23.6,0.7,min,0,adiabatic,3495,15.31,11.66,102.124333333333
vrf,2.5,9.9,0.7,max,0,adiabatic,3495,15.31,11.66,55.9229666666667
vrf,3.7,23.6,0.7,max,90,adiabatic,3495,15.31,11.66,99.97185
vrf,3.7,23.6,0.7,min,90,adiabatic,3495,15.31,11.66,102.514933333333
vrf,3.7,23.6,0.7,max,180,adiabatic,3495,15.31,11.66,100.323
vrf,3.7,23.6,0.7,min,180,adiabatic,3495,15.31,11.66,103.0972
vrf,3.7,23.6,0.7,max,270,adiabatic,3495,15.31,11.66,100.170616666667
vrf,3.7,23.6,0.7,min,270,adiabatic,3495,15.31,11.66,102.852383333333
vrf,2.5,23.6,0.3,max,0,outdoors,3495,15.31,11.66,102.476283333333
vrf,2.5,23.6,0.3,min,0,outdoors,3495,15.31,11.66,105.970333333333
vrf,2.5,23.6,0.3,max,90,outdoors,3495,15.31,11.66,102.983833333333
vrf,2.5,23.6,0.3,min,90,outdoors,3495,15.31,11.66,106.480133333333
vrf,2.5,9.9,0.7,min,0,adiabatic,3495,15.31,11.66,56.70735
split,2.5,9.9,0.3,max,0,adiabatic,3495,15.31,11.66,81.5817666666667
split,2.5,23.6,0.3,max,180,outdoors,3495,15.31,11.66,117.626383333333
split,2.5,23.6,0.3,min,180,outdoors,3495,15.31,11.66,121.95965
split,2.5,23.6,0.3,max,270,outdoors,3495,15.31,11.66,117.661683333333
split,2.5,23.6,0.3,min,270,outdoors,3495,15.31,11.66,121.497566666667
split,2.5,23.6,0.7,max,0,outdoors,3495,15.31,11.66,117.76855
split,2.5,23.6,0.7,min,0,outdoors,3495,15.31,11.66,121.79925
split,2.5,23.6,0.7,max,90,outdoors,3495,15.31,11.66,118.366433333333
split,2.5,23.6,0.7,min,90,outdoors,3495,15.31,11.66,122.081466666667
split,2.5,23.6,0.7,max,180,outdoors,3495,15.31,11.66,120.001416666667
split,2.5,23.6,0.7,min,180,outdoors,3495,15.31,11.66,124.819683333333
split,2.5,9.9,0.7,max,90,adiabatic,3495,15.31,11.66,78.4039166666666
split,2.5,23.6,0.7,max,270,outdoors,3495,15.31,11.66,119.873566666667
split,2.5,23.6,0.7,min,270,outdoors,3495,15.31,11.66,123.896883333333
split,3.7,23.6,0.3,max,0,outdoors,3495,15.31,11.66,116.87715
split,3.7,23.6,0.3,min,0,outdoors,3495,15.31,11.66,120.808683333333
split,3.7,23.6,0.3,max,90,outdoors,3495,15.31,11.66,117.0656
split,3.7,23.6,0.3,min,90,outdoors,3495,15.31,11.66,120.7108
split,3.7,23.6,0.3,max,180,outdoors,3495,15.31,11.66,117.929316666667
split,3.7,23.6,0.3,min,180,outdoors,3495,15.31,11.66,122.3816
split,3.7,23.6,0.3,max,270,outdoors,3495,15.31,11.66,117.925133333333
split,3.7,23.6,0.3,min,270,outdoors,3495,15.31,11.66,121.88005
split,2.5,9.9,0.7,min,90,adiabatic,3495,15.31,11.66,75.1019333333333
split,3.7,23.6,0.7,max,0,outdoors,3495,15.31,11.66,118.319366666667
split,3.7,23.6,0.7,min,0,outdoors,3495,15.31,11.66,122.60825
split,3.7,23.6,0.7,max,90,outdoors,3495,15.31,11.66,118.800166666667
split,3.7,23.6,0.7,min,90,outdoors,3495,15.31,11.66,122.686083333333
split,3.7,23.6,0.7,max,180,outdoors,3495,15.31,11.66,120.4602
split,3.7,23.6,0.7,min,180,outdoors,3495,15.31,11.66,125.347566666667
split,3.7,23.6,0.7,max,270,outdoors,3495,15.31,11.66,120.167116666667
split,3.7,23.6,0.7,min,270,outdoors,3495,15.31,11.66,124.3179
split,2.5,9.9,0.7,max,180,adiabatic,3495,15.31,11.66,79.2988833333333
split,2.5,9.9,0.7,min,180,adiabatic,3495,15.31,11.66,76.7911833333333
