"case","seed","hvac","envelope","lights","shgc","afn","azimuth","boundaries","ghr","outputs"
"h_split_e_2.5_l_23.22_s_0.58_v_min_a_193.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,23.220703125,0.583984375,"min",193.0078125,"adiabatic",3495,48.9487800135188
"h_split_e_2.5_l_23.22_s_0.58_v_min_a_193.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,23.220703125,0.583984375,"min",193.0078125,"outdoors",3495,48.9487800135188
"h_split_e_2.5_l_23.82_s_0.31_v_min_a_181.76_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,23.822265625,0.308203125,"min",181.7578125,"outdoors",3495,47.0146643075739
"h_split_e_2.5_l_23.82_s_0.31_v_min_a_22.85_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,23.822265625,0.308203125,"min",22.8515625,"outdoors",3495,44.8038157586701
"h_split_e_2.5_l_23.82_s_0.32_v_min_a_22.85_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,23.822265625,0.321484375,"min",22.8515625,"outdoors",3495,44.8493382740736
"h_split_e_3.7_l_10.26_s_0.37_v_max_a_146.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,10.259765625,0.370703125,"max",146.6015625,"outdoors",3495,38.4455542139332
"h_split_e_3.7_l_10.97_s_0.33_v_min_a_58.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,10.970703125,0.333984375,"min",58.0078125,"adiabatic",3495,38.5904164948395
"h_split_e_3.7_l_11.41_s_0.46_v_max_a_136.76_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,11.408203125,0.458203125,"max",136.7578125,"outdoors",3495,38.8532078756462
"h_split_e_3.7_l_11.41_s_0.47_v_max_a_136.76_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,11.408203125,0.471484375,"max",136.7578125,"adiabatic",3495,38.9059456169355
"h_split_e_3.7_l_11.41_s_0.47_v_max_a_136.76_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,11.408203125,0.471484375,"max",136.7578125,"outdoors",3495,38.9059456169355
