"hvac","envelope","lights","shgc","afn","azimuth","boundaries","ghr","outputs"
"split",3.7,21.197265625,0.583203125,"max",0.3515625,"outdoors",3495,41.5576636142788
"split",3.7,21.197265625,0.583203125,"max",249.2578125,"adiabatic",3495,43.3133236554176
"split",3.7,21.197265625,0.583203125,"min",0.3515625,"adiabatic",3495,45.5287130154369
"split",3.7,21.197265625,0.696484375,"max",0.3515625,"adiabatic",3495,41.9092785532908
"split",3.7,22.072265625,0.458203125,"max",247.8515625,"adiabatic",3495,42.86116194936
"split",3.7,22.072265625,0.471484375,"max",136.7578125,"outdoors",3495,42.2505224646359
"split",3.7,22.509765625,0.520703125,"min",191.6015625,"adiabatic",3495,48.4332932929713
"split",3.7,22.509765625,0.520703125,"min",191.6015625,"outdoors",3495,48.4332932929713
"split",3.7,22.509765625,0.520703125,"min",193.0078125,"outdoors",3495,48.4483484956232
"split",3.7,22.509765625,0.583984375,"min",191.6015625,"outdoors",3495,48.9839294963071
"split",3.7,22.783203125,0.396484375,"max",270.3515625,"outdoors",3495,42.5859767340053
"split",3.7,22.783203125,0.396484375,"max",339.2578125,"adiabatic",3495,41.6310229427361
"split",3.7,22.783203125,0.396484375,"max",339.2578125,"outdoors",3495,41.6310229427361
"split",3.7,22.783203125,0.396484375,"min",339.2578125,"outdoors",3495,45.7144408187101
"split",3.7,22.783203125,0.683203125,"max",339.2578125,"outdoors",3495,42.8007730578734
"split",3.7,23.220703125,0.520703125,"min",191.6015625,"outdoors",3495,48.8746226430831
"split",3.7,23.220703125,0.583984375,"min",193.0078125,"adiabatic",3495,49.4445252859126
"split",3.7,23.822265625,0.308203125,"min",22.8515625,"outdoors",3495,45.5196918563624
"split",3.7,23.822265625,0.321484375,"min",181.7578125,"outdoors",3495,47.5140681411106
"vrf",2.5,10.259765625,0.370703125,"max",146.6015625,"outdoors",3495,22.7036461166477
"vrf",2.5,10.533203125,0.546484375,"max",114.2578125,"outdoors",3495,23.3001670334896
"vrf",2.5,10.533203125,0.546484375,"max",225.3515625,"outdoors",3495,23.9258953680861
"vrf",2.5,10.533203125,0.546484375,"min",114.2578125,"outdoors",3495,26.4227015298822
"vrf",2.5,10.533203125,0.633203125,"max",114.2578125,"outdoors",3495,23.5791653976602
"vrf",2.5,10.533203125,0.633203125,"min",225.3515625,"outdoors",3495,27.7894201350051
"vrf",2.5,10.697265625,0.483203125,"max",90.3515625,"outdoors",3495,22.9444567499427
"vrf",2.5,10.697265625,0.596484375,"min",159.2578125,"adiabatic",3495,27.2876604298489
"vrf",2.5,10.970703125,0.333984375,"min",58.0078125,"adiabatic",3495,25.0134625516055
"vrf",2.5,12.283203125,0.583203125,"min",249.2578125,"outdoors",3495,28.1547153252185
"vrf",2.5,12.283203125,0.696484375,"max",249.2578125,"outdoors",3495,25.081883100876
"vrf",2.5,12.283203125,0.696484375,"min",0.3515625,"outdoors",3495,26.5163476465272
"vrf",2.5,12.283203125,0.696484375,"min",249.2578125,"adiabatic",3495,28.6759153165871
"vrf",2.5,12.283203125,0.696484375,"min",249.2578125,"outdoors",3495,28.6759153165871
"vrf",2.5,12.447265625,0.333203125,"min",315.3515625,"adiabatic",3495,25.8513677593942
"vrf",2.5,12.447265625,0.646484375,"max",204.2578125,"adiabatic",3495,25.0162692794057
"vrf",2.5,14.033203125,0.333203125,"max",204.2578125,"adiabatic",3495,24.1800559657711
"vrf",2.5,14.033203125,0.646484375,"max",204.2578125,"adiabatic",3495,25.6609196058783
"vrf",2.5,14.033203125,0.646484375,"max",315.3515625,"adiabatic",3495,24.4847722411594
"vrf",2.5,14.033203125,0.646484375,"min",204.2578125,"adiabatic",3495,29.4614023719064
"vrf",2.5,14.197265625,0.383203125,"max",180.3515625,"outdoors",3495,24.3090024673022
"vrf",2.5,14.197265625,0.383203125,"min",180.3515625,"adiabatic",3495,27.937543360441
"vrf",2.5,14.197265625,0.383203125,"min",180.3515625,"outdoors",3495,27.937543360441
"vrf",2.5,14.197265625,0.383203125,"min",69.2578125,"outdoors",3495,26.8560251089438
"vrf",2.5,14.197265625,0.496484375,"min",180.3515625,"outdoors",3495,28.5739403155053
"vrf",2.5,15.072265625,0.658203125,"min",67.8515625,"outdoors",3495,28.3209771321197
"vrf",2.5,15.072265625,0.671484375,"min",316.7578125,"adiabatic",3495,28.3890182765464
"vrf",2.5,15.509765625,0.320703125,"max",11.6015625,"adiabatic",3495,23.6437639475754
"vrf",2.5,15.509765625,0.320703125,"max",11.6015625,"outdoors",3495,23.6437639475754
"vrf",2.5,15.509765625,0.320703125,"max",13.0078125,"adiabatic",3495,23.6470209795835
"vrf",2.5,15.509765625,0.383984375,"max",11.6015625,"adiabatic",3495,23.7761775282313
"vrf",2.5,15.783203125,0.483203125,"min",159.2578125,"adiabatic",3495,29.0541234775922
