"case","seed","hvac","envelope","lights","shgc","afn","azimuth","boundaries"
"h_vrf_e_3.7_l_13.76_s_0.43_v_min_a_328.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",13.759765625,0.433984375,"min",328.0078125,"outdoors"
"h_vrf_e_3.7_l_14.47_s_0.47_v_min_a_328.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",14.470703125,0.470703125,"min",328.0078125,"outdoors"
"h_vrf_e_3.7_l_14.47_s_0.43_v_min_a_236.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",14.470703125,0.433984375,"min",236.6015625,"outdoors"
"h_split_e_2.5_l_12.01_s_0.42_v_min_a_281.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",12.009765625,0.420703125,"min",281.6015625,"adiabatic"
"h_split_e_2.5_l_19.72_s_0.42_v_min_a_281.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",19.720703125,0.420703125,"min",281.6015625,"adiabatic"
"h_split_e_2.5_l_12.01_s_0.68_v_min_a_281.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",12.009765625,0.683984375,"min",281.6015625,"adiabatic"
"h_split_e_2.5_l_12.01_s_0.42_v_min_a_103.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",12.009765625,0.420703125,"min",103.0078125,"adiabatic"
"h_split_e_2.5_l_12.01_s_0.42_v_min_a_281.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",12.009765625,0.420703125,"min",281.6015625,"outdoors"
"h_split_e_2.5_l_19.72_s_0.68_v_min_a_103.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",19.720703125,0.683984375,"min",103.0078125,"outdoors"
"h_split_e_2.5_l_12.01_s_0.68_v_min_a_103.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",12.009765625,0.683984375,"min",103.0078125,"outdoors"
"h_split_e_2.5_l_19.72_s_0.42_v_min_a_103.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",19.720703125,0.420703125,"min",103.0078125,"outdoors"
"h_split_e_2.5_l_19.72_s_0.68_v_min_a_281.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",19.720703125,0.683984375,"min",281.6015625,"outdoors"
"h_split_e_2.5_l_19.72_s_0.68_v_min_a_103.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",19.720703125,0.683984375,"min",103.0078125,"adiabatic"
"h_vrf_e_3.7_l_19.01_s_0.62_v_max_a_101.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",19.009765625,0.620703125,"max",101.6015625,"outdoors"
"h_vrf_e_3.7_l_12.72_s_0.62_v_max_a_101.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",12.720703125,0.620703125,"max",101.6015625,"outdoors"
"h_vrf_e_3.7_l_19.01_s_0.48_v_max_a_101.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",19.009765625,0.483984375,"max",101.6015625,"outdoors"
"h_vrf_e_3.7_l_19.01_s_0.62_v_max_a_283.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",19.009765625,0.620703125,"max",283.0078125,"outdoors"
"h_vrf_e_3.7_l_19.01_s_0.62_v_max_a_101.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",19.009765625,0.620703125,"max",101.6015625,"adiabatic"
"h_vrf_e_3.7_l_12.72_s_0.48_v_max_a_283.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",12.720703125,0.483984375,"max",283.0078125,"adiabatic"
"h_vrf_e_3.7_l_19.01_s_0.48_v_max_a_283.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",19.009765625,0.483984375,"max",283.0078125,"adiabatic"
"h_vrf_e_3.7_l_12.72_s_0.62_v_max_a_283.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",12.720703125,0.620703125,"max",283.0078125,"adiabatic"
"h_vrf_e_3.7_l_12.72_s_0.48_v_max_a_101.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",12.720703125,0.483984375,"max",101.6015625,"adiabatic"
"h_vrf_e_3.7_l_12.72_s_0.48_v_max_a_283.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",12.720703125,0.483984375,"max",283.0078125,"outdoors"
"h_vrf_e_2.5_l_15.51_s_0.32_v_max_a_11.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",15.509765625,0.320703125,"max",11.6015625,"adiabatic"
"h_vrf_e_3.7_l_15.51_s_0.32_v_max_a_11.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",15.509765625,0.320703125,"max",11.6015625,"adiabatic"
"h_vrf_e_2.5_l_16.22_s_0.32_v_max_a_11.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",16.220703125,0.320703125,"max",11.6015625,"adiabatic"
"h_vrf_e_2.5_l_15.51_s_0.38_v_max_a_11.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",15.509765625,0.383984375,"max",11.6015625,"adiabatic"
"h_vrf_e_2.5_l_15.51_s_0.32_v_max_a_13.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",15.509765625,0.320703125,"max",13.0078125,"adiabatic"
"h_vrf_e_2.5_l_15.51_s_0.32_v_max_a_11.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",15.509765625,0.320703125,"max",11.6015625,"outdoors"
"h_vrf_e_3.7_l_16.22_s_0.38_v_max_a_13.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",16.220703125,0.383984375,"max",13.0078125,"outdoors"
"h_vrf_e_2.5_l_16.22_s_0.38_v_max_a_13.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",16.220703125,0.383984375,"max",13.0078125,"outdoors"
"h_vrf_e_3.7_l_15.51_s_0.38_v_max_a_13.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",15.509765625,0.383984375,"max",13.0078125,"outdoors"
"h_vrf_e_3.7_l_16.22_s_0.32_v_max_a_13.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",16.220703125,0.320703125,"max",13.0078125,"outdoors"
"h_vrf_e_3.7_l_16.22_s_0.38_v_max_a_11.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",16.220703125,0.383984375,"max",11.6015625,"outdoors"
"h_vrf_e_3.7_l_16.22_s_0.38_v_max_a_13.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",16.220703125,0.383984375,"max",13.0078125,"adiabatic"
"h_split_e_3.7_l_22.51_s_0.52_v_min_a_191.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",22.509765625,0.520703125,"min",191.6015625,"outdoors"
"h_split_e_2.5_l_22.51_s_0.52_v_min_a_191.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",22.509765625,0.520703125,"min",191.6015625,"outdoors"
"h_split_e_3.7_l_23.22_s_0.52_v_min_a_191.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",23.220703125,0.520703125,"min",191.6015625,"outdoors"
"h_split_e_3.7_l_22.51_s_0.58_v_min_a_191.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",22.509765625,0.583984375,"min",191.6015625,"outdoors"
"h_split_e_3.7_l_22.51_s_0.52_v_min_a_193.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",22.509765625,0.520703125,"min",193.0078125,"outdoors"
"h_split_e_3.7_l_22.51_s_0.52_v_min_a_191.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",22.509765625,0.520703125,"min",191.6015625,"adiabatic"
"h_split_e_2.5_l_23.22_s_0.58_v_min_a_193.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",23.220703125,0.583984375,"min",193.0078125,"adiabatic"
"h_split_e_3.7_l_23.22_s_0.58_v_min_a_193.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",23.220703125,0.583984375,"min",193.0078125,"adiabatic"
"h_split_e_2.5_l_22.51_s_0.58_v_min_a_193.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",22.509765625,0.583984375,"min",193.0078125,"adiabatic"
